,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Label,Score
0,15731755,680,France,Male,49,10,"0,00",2,1,0,"187.008,45",0,0,"0,7361"
1,15632576,520,France,Male,31,4,"93.249,40",1,1,0,"77.335,75",0,0,"0,7857"
2,15651955,603,France,Male,31,4,"0,00",2,0,1,"9.607,10",0,0,"0,9805"
3,15697310,559,Germany,Female,28,3,"152.264,81",1,0,0,"64.242,31",0,0,"0,5922"
4,15792360,668,France,Male,32,7,"0,00",2,1,1,"777,37",0,0,"0,9809"
5,15726774,563,France,Male,35,3,"106.250,72",1,0,0,"39.546,32",0,0,"0,7256"
6,15590676,735,France,Male,34,1,"141.796,43",1,1,0,"45.858,49",0,0,"0,7429"
7,15635244,716,France,Female,29,6,"0,00",2,1,1,"98.998,61",0,0,"0,9405"
8,15726695,601,Spain,Female,20,9,"122.446,61",2,1,0,"86.791,90",0,0,"0,8684"
9,15612350,691,France,Female,31,5,"40.915,55",1,1,0,"126.213,84",1,1,"0,5207"
10,15804709,688,Germany,Male,35,5,"111.578,18",1,0,0,"166.165,93",1,1,"0,5216"
11,15724296,684,Spain,Male,41,2,"119.782,72",2,0,0,"120.284,67",0,0,"0,8927"
12,15787710,427,Spain,Female,39,9,"0,00",2,1,0,"28.368,37",0,0,"0,8931"
13,15804864,670,France,Female,27,5,"79.336,61",1,1,1,"26.170,08",0,0,"0,7875"
14,15797010,649,France,Female,31,2,"0,00",2,1,0,"15.200,61",0,0,"0,9110"
15,15751203,702,France,Male,26,5,"56.738,47",2,1,1,"100.442,22",1,0,"0,9686"
16,15801924,754,Spain,Female,27,8,"0,00",2,0,0,"121.821,16",0,0,"0,9212"
17,15699830,721,France,Female,40,7,"0,00",2,1,1,"122.580,48",0,0,"0,9108"
18,15764153,704,France,Female,33,0,"130.499,09",2,1,1,"74.804,36",0,0,"0,8930"
19,15698349,686,Spain,Female,35,4,"0,00",2,1,1,"159.676,55",0,0,"0,9368"
20,15729279,718,France,Female,25,4,"108.691,95",1,1,0,"63.030,97",0,0,"0,6557"
21,15721730,601,Spain,Female,44,4,"0,00",2,1,0,"58.561,31",0,0,"0,7145"
22,15678284,651,France,Male,35,7,"74.623,50",3,1,0,"129.451,29",1,1,"0,7853"
23,15748597,844,Spain,Male,56,5,"99.529,70",1,0,1,"157.230,06",1,0,"0,5502"
24,15718789,604,France,Male,30,5,"0,00",2,1,0,"75.786,55",0,0,"0,9602"
25,15733229,638,Spain,Female,34,7,"0,00",2,0,0,"3.946,29",0,0,"0,9498"
26,15641175,701,Germany,Male,63,3,"120.916,52",3,0,0,"144.727,45",1,1,"0,9814"
27,15696637,571,France,Female,23,10,"151.097,28",1,0,1,"17.163,75",0,0,"0,8096"
