CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15731755,680,France,Male,49,10,0.0,2,1,0,187008.45,0
15632576,520,France,Male,31,4,93249.4,1,1,0,77335.75,0
15651955,603,France,Male,31,4,0.0,2,0,1,9607.1,0
15697310,559,Germany,Female,28,3,152264.81,1,0,0,64242.31,0
15792360,668,France,Male,32,7,0.0,2,1,1,777.37,0
15726774,563,France,Male,35,3,106250.72,1,0,0,39546.32,0
15590676,735,France,Male,34,1,141796.43,1,1,0,45858.49,0
15635244,716,France,Female,29,6,0.0,2,1,1,98998.61,0
15726695,601,Spain,Female,20,9,122446.61,2,1,0,86791.9,0
15612350,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
15804709,688,Germany,Male,35,5,111578.18,1,0,0,166165.93,1
15724296,684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0
15787710,427,Spain,Female,39,9,0.0,2,1,0,28368.37,0
15804864,670,France,Female,27,5,79336.61,1,1,1,26170.08,0
15797010,649,France,Female,31,2,0.0,2,1,0,15200.61,0
15751203,702,France,Male,26,5,56738.47,2,1,1,100442.22,1
15801924,754,Spain,Female,27,8,0.0,2,0,0,121821.16,0
15699830,721,France,Female,40,7,0.0,2,1,1,122580.48,0
15764153,704,France,Female,33,0,130499.09,2,1,1,74804.36,0
15698349,686,Spain,Female,35,4,0.0,2,1,1,159676.55,0
15729279,718,France,Female,25,4,108691.95,1,1,0,63030.97,0
15721730,601,Spain,Female,44,4,0.0,2,1,0,58561.31,0
15678284,651,France,Male,35,7,74623.5,3,1,0,129451.29,1
15748597,844,Spain,Male,56,5,99529.7,1,0,1,157230.06,1
15718789,604,France,Male,30,5,0.0,2,1,0,75786.55,0
15733229,638,Spain,Female,34,7,0.0,2,0,0,3946.29,0
15641175,701,Germany,Male,63,3,120916.52,3,0,0,144727.45,1
15696637,571,France,Female,23,10,151097.28,1,0,1,17163.75,0
15793070,494,Spain,Female,41,2,69974.66,2,1,0,188426.13,1
15689953,697,Spain,Male,43,10,128226.37,1,0,0,188486.94,0
15581811,678,Germany,Female,30,1,139676.95,2,0,1,16146.0,0
15685576,527,Spain,Female,36,6,0.0,2,1,1,102280.29,0
15687752,641,France,Male,30,2,87505.47,2,0,1,7278.57,0
15723873,657,Spain,Male,31,3,125167.02,1,0,0,98820.39,0
15567147,802,Spain,Male,40,4,0.0,2,1,1,81908.09,0
15664681,584,France,Female,35,2,114321.28,2,0,0,15959.01,0
15619616,571,France,Female,33,9,102017.25,2,0,0,128600.49,0
15777217,641,Spain,Male,25,10,0.0,2,1,1,180808.39,0
15597394,668,Spain,Male,34,0,0.0,1,0,0,99984.86,0
15744979,666,France,Female,36,8,0.0,1,0,1,158666.99,0
15799825,583,France,Female,44,8,0.0,2,1,1,27431.62,0
15795963,687,France,Male,34,7,129895.19,1,0,1,28698.17,0
15632125,606,Germany,Male,45,5,63832.43,1,1,1,93707.8,0
15659234,494,France,Male,30,3,85704.95,1,0,1,27886.06,0
